ContactId,FirstName,LastName,FullName,DateOfBirth,Gender,Email,Telephone,City,Country,CreatedOn,LoyaltyTier,Income,CustomerSatisfaction
CUST_00000,Brenda,Blackwell,Brenda Blackwell,1977-06-29,Male,john64@jones.com,4963418698,Mayerfort,VN,2021-01-12,low,11737.461135525358,high
CUST_00001,John,Nelson,John Nelson,1967-01-09,Female,scott41@moore.com,+1-391-590-7629x4636,Kennedymouth,VN,2022-10-17,medium,20598.351678392075,medium
CUST_00002,Gary,Greene,Gary Greene,1982-12-28,Female,nwoodard@gmail.com,+1-850-672-0901x1913,South Kelly,VN,2024-07-26,medium,43783.0945334125,medium
CUST_00003,Anne,Daniel,Anne Daniel,1989-10-25,Female,lopezdenise@fox.info,4485596633,New Travis,VN,2023-06-06,high,45988.595927746515,high
CUST_00004,Cathy,Weber,Cathy Weber,1999-03-09,Male,stricklandjason@meyer-ingram.com,614-293-8311x59247,Port Marissamouth,VN,2022-10-15,low,29889.13724517489,high
CUST_00005,Alicia,Haynes,Alicia Haynes,1999-04-10,Male,aliciadyer@hotmail.com,789-410-9772x9713,Lake Jenniferfurt,VN,2023-06-19,high,34147.12578840864,high
CUST_00006,Melissa,Fisher,Melissa Fisher,2002-02-24,Female,sandradavenport@cooper-obrien.net,+1-229-716-0877,Hintonchester,VN,2023-09-28,low,15445.41098528526,high
CUST_00007,Savannah,Powers,Savannah Powers,1976-03-15,Female,mhernandez@hotmail.com,815-826-9243,West Bridget,VN,2024-07-14,medium,31665.773025254217,high
CUST_00008,Brendan,Klein,Brendan Klein,1957-04-15,Male,uhenry@huff-ramos.org,+1-396-833-0933x5329,Garciaton,VN,2021-04-25,low,15382.219959147396,high
CUST_00009,Ashley,Garrett,Ashley Garrett,2000-02-10,Female,elizabeth37@gmail.com,001-899-308-2764x127,Romeroland,VN,2024-11-04,low,79573.2246210332,medium
CUST_00010,Lucas,Bryant,Lucas Bryant,1978-09-10,Female,knightlisa@tanner.com,(790)232-9612,Christopherbury,VN,2023-11-26,low,28055.776758263615,high
CUST_00011,Richard,Wall,Richard Wall,1991-11-12,Female,stevensoncarol@gmail.com,877.198.5886x6154,Michaelmouth,VN,2021-04-06,medium,58512.37416741395,medium
CUST_00012,Vanessa,Nguyen,Vanessa Nguyen,2006-01-27,Female,maynardryan@hicks-roberts.org,(997)936-8728x7887,Patrickbury,VN,2023-08-10,low,31314.11683557638,medium
CUST_00013,Karen,Dickerson,Karen Dickerson,1988-10-06,Female,adam67@baker-mccormick.info,196.151.3359x467,Richardburgh,VN,2023-10-12,medium,78374.7500871757,high
CUST_00014,Mark,Thomas,Mark Thomas,2007-05-16,Female,jacob87@hotmail.com,473.264.3534x7137,Lake Manuelville,VN,2022-06-21,medium,64200.47037270693,high
CUST_00015,Kyle,Walker,Kyle Walker,2002-01-27,Female,kingrobin@brown-campbell.com,+1-499-317-8001x3381,Catherinetown,VN,2021-09-25,medium,69540.90251053653,medium
CUST_00016,Robert,Parker,Robert Parker,2002-08-22,Female,wallacebryan@johnson.com,596.024.5038x9520,Barberland,VN,2022-10-04,low,4872.329415221946,high
CUST_00017,Robert,Ramirez,Robert Ramirez,1968-07-30,Male,gbrown@hotmail.com,+1-157-923-1937x290,Williamsside,VN,2021-07-07,high,39185.727577302605,medium
CUST_00018,Benjamin,Johnson,Benjamin Johnson,1997-07-16,Female,dennisnatalie@hotmail.com,001-033-202-3786,North Daniel,VN,2021-04-12,low,4190.159472722792,high
CUST_00019,Kara,Fuller,Kara Fuller,1987-10-11,Male,josephpatel@hotmail.com,+1-495-409-8071x5241,West Brandonmouth,VN,2021-09-17,medium,47066.52012615455,high
CUST_00020,Joseph,Barton,Joseph Barton,1962-07-30,Female,abenson@sandoval.net,(075)277-6200x9003,Colemanton,VN,2023-09-05,low,32652.525102348245,high
CUST_00021,Thomas,Baker,Thomas Baker,1981-05-04,Female,ashley18@yahoo.com,(275)618-3844x63766,Steinville,VN,2021-09-26,low,31696.888766241795,medium
CUST_00022,Grant,Scott,Grant Scott,1999-06-17,Female,kstevens@hotmail.com,4747032426,Jenniferview,VN,2021-04-17,medium,46894.7100968811,low
CUST_00023,Abigail,Everett,Abigail Everett,1983-10-29,Female,timothy83@yahoo.com,(641)412-4676,Staceystad,VN,2024-01-12,medium,30615.80215980462,medium
CUST_00024,Brianna,Warren,Brianna Warren,1997-03-23,Female,nathanblair@ramirez.info,+1-942-076-0497,South Drew,VN,2023-03-25,high,60039.18356707374,high
CUST_00025,Timothy,Fowler,Timothy Fowler,2005-01-17,Male,paulsteele@hotmail.com,(425)805-5261,West Jamesbury,VN,2022-08-09,medium,45567.1382219089,medium
CUST_00026,Theodore,Joyce,Theodore Joyce,1976-08-04,Female,donnajohnson@gmail.com,(972)582-7340x0955,Port Mikeville,VN,2023-07-06,medium,69764.56853066798,high
CUST_00027,Melissa,Rodriguez,Melissa Rodriguez,1991-11-12,Female,warrenkatherine@fields.com,226-957-5657x596,Bethton,VN,2021-11-18,low,51347.86995104498,medium
CUST_00028,Sandra,Rogers,Sandra Rogers,1971-11-13,Female,timothyhughes@yahoo.com,+1-758-735-2794x097,New Nicoleside,VN,2021-04-08,medium,64276.035546579784,high
CUST_00029,Nicholas,Goodwin,Nicholas Goodwin,1988-05-05,Male,james45@gmail.com,+1-727-799-5883x372,Davisshire,VN,2021-11-12,low,47572.59695408202,high
CUST_00030,Victoria,Matthews,Victoria Matthews,1987-01-09,Male,nicholas37@bryant.com,506-182-0908,West Kristin,VN,2022-02-05,low,38851.04739619943,high
CUST_00031,Margaret,Ford,Margaret Ford,1992-04-07,Male,mcdonaldlaura@jones-cooley.com,839.180.8046,New Courtneyshire,VN,2022-11-18,medium,69251.155609999,medium
CUST_00032,Mark,Rangel,Mark Rangel,1959-01-08,Female,lindsaycross@yahoo.com,277-421-5229x9572,Port Raymondland,VN,2021-02-27,medium,30734.679388667242,medium
CUST_00033,Bryan,Davis,Bryan Davis,1991-03-25,Male,manuelharmon@rios.biz,001-301-964-2598x3942,Alvarezmouth,VN,2023-02-17,medium,23908.804518120123,high
CUST_00034,James,Castillo,James Castillo,1977-12-29,Male,kimdavid@yahoo.com,454.565.1468,New William,VN,2022-07-29,low,6979.492529982793,high
CUST_00035,Mark,Buck,Mark Buck,1978-05-25,Male,jennifernelson@solomon.info,+1-119-937-0864x025,Copelandton,VN,2022-08-14,medium,13653.188116170704,medium
CUST_00036,Matthew,Smith,Matthew Smith,1976-12-28,Female,christopher14@hotmail.com,273-182-4383x45421,South Joshuachester,VN,2022-10-16,medium,27867.64841647594,high
CUST_00037,Connor,Parks,Connor Parks,1966-11-09,Male,jeffreysutton@hotmail.com,(657)852-5312,Adamland,VN,2023-03-25,low,60291.283510931884,medium
CUST_00038,David,Martinez,David Martinez,1974-03-12,Female,claudiahess@hotmail.com,(189)377-5988x64223,East Karenshire,VN,2024-04-24,high,67370.46927943986,high
CUST_00039,Wanda,Sparks,Wanda Sparks,1985-04-20,Male,mcaldwell@hotmail.com,001-731-637-9140x127,Kathleenton,VN,2023-05-27,low,73471.457027239,high
CUST_00040,Kyle,Morales,Kyle Morales,1999-04-24,Female,robert31@gmail.com,(191)323-6420x724,Lake Richardshire,VN,2023-12-21,medium,58023.8860479048,high
CUST_00041,Natalie,Powell,Natalie Powell,1972-12-02,Male,hperez@gmail.com,125.181.1998x897,Ashleyshire,VN,2024-03-06,medium,42785.61182184563,high
CUST_00042,Amy,Taylor,Amy Taylor,1975-04-22,Male,lopezdeborah@gay.info,150.092.1101x938,New Juan,VN,2021-05-30,medium,35309.20480693982,medium
CUST_00043,Jacob,Gonzalez,Jacob Gonzalez,1990-10-14,Female,qrodriguez@gmail.com,470-967-6088x68011,South Johnshire,VN,2022-01-16,low,12252.677881034448,medium
CUST_00044,Raymond,Willis,Raymond Willis,1959-09-26,Female,mark96@castro.net,(287)956-3293x99059,East Charlesville,VN,2023-07-26,low,6136.117778560701,high
CUST_00045,Caitlin,Anderson,Caitlin Anderson,1967-05-11,Female,christineharvey@gmail.com,944-128-4720,Thomasport,VN,2022-03-12,low,4321.404841044769,high
CUST_00046,Frank,Gomez,Frank Gomez,2004-01-25,Male,joseph63@yahoo.com,924.452.6788x95538,East Kevin,VN,2023-10-07,low,16336.54398307117,high
CUST_00047,Matthew,Thompson,Matthew Thompson,1973-02-14,Male,fschmidt@cox.com,001-043-947-9982,Davidport,VN,2021-08-23,low,76084.22133253672,high
CUST_00048,Tracy,Robbins,Tracy Robbins,1973-02-23,Female,rodriguezjonathan@cannon.com,001-290-072-1378x703,East Charlenehaven,VN,2022-06-12,low,51191.2135099962,high
CUST_00049,David,Gallegos,David Gallegos,1970-04-16,Male,nataliebailey@hotmail.com,001-180-448-7418x65208,West Andrea,VN,2024-04-16,medium,55665.21024365686,high
CUST_00050,Elizabeth,Villarreal,Elizabeth Villarreal,1963-11-12,Female,jmclean@johnson.com,+1-405-606-8642,West Crystal,VN,2021-04-20,medium,5041.370911704879,high
CUST_00051,Carol,Reese,Carol Reese,1964-12-28,Male,kristinstout@hutchinson.com,314-181-9589x667,Moraleschester,VN,2024-01-08,medium,55141.96236348959,high
CUST_00052,Danny,Ortiz,Danny Ortiz,1988-04-14,Male,kgraves@robinson.com,001-406-559-6727x69192,New Cassandra,VN,2022-02-22,low,45012.49277732699,high
CUST_00053,Gregory,Parrish,Gregory Parrish,1995-04-27,Male,hvargas@morgan.org,(230)636-0414,Valerieshire,VN,2022-01-26,medium,53164.32743304967,medium
CUST_00054,Nicole,Russo,Nicole Russo,2005-04-07,Male,bauerkevin@gomez.com,639.228.6288,Amandabury,VN,2023-08-27,low,10759.906106061851,low
CUST_00055,Cassandra,Evans,Cassandra Evans,1989-10-07,Male,prestonleslie@hotmail.com,(641)467-4118x15686,West Dorothyport,VN,2022-01-30,medium,28914.67454643194,high
CUST_00056,John,Steele,John Steele,2004-08-20,Male,carolyncosta@gmail.com,+1-356-768-4037x141,Cunninghamtown,VN,2023-09-24,medium,4791.939051658592,high
CUST_00057,Jacob,Koch,Jacob Koch,1989-04-06,Male,jeffreymaldonado@hotmail.com,+1-704-061-0298,Port Carlos,VN,2023-01-29,low,56352.55761927933,medium
CUST_00058,Timothy,Frazier,Timothy Frazier,1996-06-21,Male,ugentry@yahoo.com,001-793-970-6356x606,Stephanieview,VN,2022-10-25,high,59600.4703728992,high
CUST_00059,Laura,Lewis,Laura Lewis,1978-12-03,Male,christine07@stanley.com,971.497.7792x99613,East Tylerton,VN,2021-06-02,medium,35607.26255772513,high
CUST_00060,Ashley,Wilson,Ashley Wilson,1958-12-13,Male,nicholas24@gmail.com,502.498.7020x858,South Caroline,VN,2024-03-24,high,34771.56112217984,medium
CUST_00061,Robert,Powers,Robert Powers,1999-12-02,Male,christopher21@yahoo.com,(336)309-5785x413,Johnsonton,VN,2022-02-02,medium,69767.9787551486,high
CUST_00062,Logan,Robinson,Logan Robinson,1998-06-22,Female,angelamaddox@lane.com,4940324890,West Randyburgh,VN,2024-06-10,low,60817.0722199453,high
CUST_00063,Michael,Russell,Michael Russell,1965-08-07,Male,mlewis@lang.info,065-756-1673x227,Lake Marthaport,VN,2023-10-14,low,44143.21546185338,high
CUST_00064,Kyle,Bernard,Kyle Bernard,1968-01-12,Male,lorisanchez@richardson.info,+1-819-115-5192,Brianshire,VN,2023-02-01,low,71955.28859420744,medium
CUST_00065,Michelle,Munoz,Michelle Munoz,1961-06-22,Female,wardscott@yahoo.com,735-927-2573,North Brentmouth,VN,2024-09-05,high,68230.02209536041,medium
CUST_00066,Joy,Clark,Joy Clark,2005-07-04,Female,gallowaywalter@hotmail.com,+1-567-362-6171x931,Morganville,VN,2022-05-03,high,76196.75031419181,high
CUST_00067,Connie,Parker,Connie Parker,1981-05-31,Male,rhodesnicole@gmail.com,(797)274-3511x31906,West Kyle,VN,2022-10-01,low,10061.219338903044,high
CUST_00068,Nicole,Young,Nicole Young,1985-12-10,Female,snyderwilliam@white-wallace.com,472-101-4938x0089,Lake Heatherfurt,VN,2024-07-19,medium,60932.83876670136,high
CUST_00069,Robert,Mora,Robert Mora,1978-12-02,Male,foxlinda@gmail.com,001-361-059-0280x240,New Matthewmouth,VN,2024-06-05,low,74681.54113792154,high
CUST_00070,Christine,Wheeler,Christine Wheeler,1983-01-27,Female,dconner@yahoo.com,789.525.2769,Mooreland,VN,2023-02-21,medium,36997.84860575003,high
CUST_00071,Andrew,Keller,Andrew Keller,1980-06-18,Male,samuelbernard@yahoo.com,345.041.0329x3423,West Michael,VN,2024-05-10,medium,77586.19968600839,high
CUST_00072,Christopher,West,Christopher West,1992-08-11,Female,patriciaodom@hotmail.com,3581553545,Gonzaleston,VN,2023-10-26,medium,10786.446061454848,low
CUST_00073,Kelly,Cabrera,Kelly Cabrera,1985-10-19,Male,hunterchristensen@yahoo.com,(329)089-6690x125,South Alejandrostad,VN,2022-02-23,low,33542.173350477395,high
CUST_00074,Maria,Adams,Maria Adams,1986-07-07,Female,vflores@hotmail.com,+1-867-978-7959,West Brenda,VN,2023-08-31,low,9532.503984559778,high
CUST_00075,Gregory,Mendez,Gregory Mendez,1989-12-21,Female,cindy04@lopez.com,(280)964-1863,Coleborough,VN,2023-10-16,high,70787.7175851581,medium
CUST_00076,Tammy,Alexander,Tammy Alexander,1968-06-29,Male,amy30@yahoo.com,9004912412,West Michelleshire,VN,2022-10-25,high,61010.12026493851,medium
CUST_00077,Norma,Mills,Norma Mills,1971-09-16,Male,kvargas@taylor.com,(658)228-0642,West Laurabury,VN,2022-05-09,low,32105.044439413596,high
CUST_00078,Ryan,Hernandez,Ryan Hernandez,1961-11-26,Female,benjamin98@hotmail.com,520.078.6872,East Garyville,VN,2024-06-26,high,11562.206137573654,high
CUST_00079,Maria,Chambers,Maria Chambers,1997-10-05,Male,chase82@gmail.com,672-632-5032,Anthonyburgh,VN,2022-02-22,low,47003.42294078582,high
CUST_00080,Tony,Fox,Tony Fox,2007-01-08,Female,msantos@hotmail.com,001-979-398-2802x562,Martinezmouth,VN,2024-11-01,low,52989.1932629369,high
CUST_00081,Tina,Arroyo,Tina Arroyo,2000-11-29,Male,lisa81@yahoo.com,244-165-8634x4783,South Emily,VN,2022-08-22,low,33817.16275114591,high
CUST_00082,Carrie,Brown,Carrie Brown,1972-02-18,Male,joneslori@snyder.biz,764-390-5744x5923,East Ryan,VN,2022-01-20,high,20216.879565997853,high
CUST_00083,Jillian,Ayers,Jillian Ayers,1995-03-09,Female,stephenwright@sampson-miller.com,(112)895-1697x8168,Campbellberg,VN,2022-01-08,high,45812.38797547901,medium
CUST_00084,Patty,Jones,Patty Jones,1963-07-28,Female,stephaniedavis@gray.com,(812)831-8445,Brockshire,VN,2021-02-23,medium,79458.28930118613,low
CUST_00085,Susan,Campbell,Susan Campbell,1979-12-07,Male,elizabethparker@foley-sutton.com,7142171815,North Holly,VN,2024-05-26,medium,8808.460125912234,medium
CUST_00086,Justin,Cain,Justin Cain,1992-09-02,Male,spencer62@hicks.com,(306)825-7533x658,Kellerberg,VN,2023-07-10,medium,37999.66198711854,high
CUST_00087,Brittney,Mercado,Brittney Mercado,1960-11-26,Female,eugene47@austin.info,(024)932-8289x9085,Howeview,VN,2021-06-05,low,59756.75434991248,high
CUST_00088,Arthur,Andrews,Arthur Andrews,1979-06-09,Female,huntgregory@yahoo.com,(504)410-4524x278,Angelashire,VN,2021-10-30,high,71550.31135960056,high
CUST_00089,William,Wood,William Wood,1978-12-18,Female,jeremy49@hotmail.com,292.779.9542x025,Cherylstad,VN,2021-08-30,low,16065.352599958545,high
CUST_00090,Kari,Wright,Kari Wright,1977-03-27,Female,valdezkrystal@yahoo.com,242.494.2096,West Steven,VN,2022-12-08,low,47941.520612517146,low
CUST_00091,Tyler,Welch,Tyler Welch,1971-10-22,Male,johnnymiller@hotmail.com,+1-159-866-6746x9196,Gonzalezfort,VN,2024-09-26,low,37899.54520581999,low
