customer_id,full_name,customer_type,birth_date,gender,email,phone,address,social_channels,source,tags,notes,created_at,updated_at
1,Nguyễn Phương Yến,Trung bình,1991-01-05,Nữ,nguyen.phuong.yen@yahoo.com,0528196001,"Địa chỉ: 86J2+X8W, Unnamed, Road, Nha Trang, Khánh Hòa","{""facebook"": ""facebook.com/nguyen_phuong_yen35"", ""zalo"": ""zalo.com/nguyen_phuong_yen20"", ""preferred"": ""zalo""}",Event,"[""nu""]",,2025-04-26 12:53:27,2025-08-11 20:55:00
2,Bùi Văn Khoa,Tiềm năng,1991-06-07,Nam,bui.van.khoa@outlook.com,0369407816,"Địa chỉ: phường 15, Quận 8, Hồ Chí Minh","{""preferred"": ""tiktok""}",Website,"[""yeu-son"", ""tri-mun""]",,2023-03-13 04:27:24,2023-08-29 12:45:15
3,Đỗ Ngọc An,Mới,1995-09-17,Nữ,do.ngoc.an@outlook.com,0729283276,"Địa chỉ: 343 Lê Lợi, Phường 5, Tuy Hòa, Phú Yên","{""instagram"": ""instagram.com/do_ngoc_an8"", ""zalo"": ""zalo.com/do_ngoc_an72"", ""preferred"": ""zalo""}",Event,"[""nam""]",,2023-03-28 21:31:04,2023-05-25 22:41:11
4,Dương Ngọc Yến,Trung bình,1964-12-21,Nữ,duong.ngoc.yen@hotmail.com,0594969653,"Địa chỉ: 127, Đường Nguyễn Công Trứ, Phường 1, Bảo Lộc, Lâm Đồng","{""facebook"": ""facebook.com/duong_ngoc_yen48"", ""instagram"": ""instagram.com/duong_ngoc_yen59"", ""zalo"": ""zalo.com/duong_ngoc_yen70"", ""preferred"": ""facebook""}",Referral,[],"Da nhạy cảm, tránh hương liệu mạnh",2025-09-01 16:53:02,2025-10-09 01:49:00
5,Võ Lan Thảo,Tiềm năng,1992-11-15,Nữ,vo.lan.thao@icloud.com,0737048281,"Địa chỉ: Hội Nghĩa, Thành phố Tân Uyên, Bình Dương","{""instagram"": ""instagram.com/vo_lan_thao62"", ""zalo"": ""zalo.com/vo_lan_thao46"", ""preferred"": ""zalo""}",Event,"[""chong-nang""]",,2023-09-08 22:59:04,2024-01-25 18:17:38
6,Lê Văn Kim,Mới,2007-11-19,Nam,le.van.kim8728@yahoo.com,0537824896,"Địa chỉ: Đ. Khu Phố 8/82/16 QL1, Tân Hoà, Biên Hòa, Đồng Nai","{""facebook"": ""facebook.com/le_van_kim15"", ""instagram"": ""instagram.com/le_van_kim8"", ""zalo"": ""zalo.com/le_van_kim75"", ""tiktok"": ""tiktok.com/le_van_kim75"", ""preferred"": ""instagram""}",Website,"[""nu""]",,2025-10-06 13:12:36,2025-10-08 20:38:00
7,Trần Đức Trang,Trung bình,1986-12-13,Nữ,tran.duc.trang5414@gmail.com,0993473829,"Địa chỉ: 455 Nguyễn Thái Học, Nguyễn Văn Cừ, Quy Nhơn, Bình Định 55000","{""facebook"": ""facebook.com/tran_duc_trang93"", ""instagram"": ""instagram.com/tran_duc_trang83"", ""tiktok"": ""tiktok.com/tran_duc_trang51"", ""preferred"": ""phone""}",Website,"[""tri-mun"", ""trang-diem"", ""nam""]",,2024-07-04 09:10:14,2024-10-21 00:08:17
8,Phan Thanh Giang,Tiềm năng,1981-10-11,Nam,phan.thanh.giang@yahoo.com,0957317810,"Địa chỉ: 98 Ngô Thì Nhậm, Tổ dân phố 14, Tam Điệp, Ninh Bình","{""instagram"": ""instagram.com/phan_thanh_giang0"", ""tiktok"": ""tiktok.com/phan_thanh_giang58"", ""preferred"": ""zalo""}",Social,"[""chong-nang""]",,2025-01-17 18:20:33,2025-03-13 08:56:38
9,Lý Ngọc My,Trung bình,1975-04-01,Nữ,ly.ngoc.my@gmail.com,0990500978,"Địa chỉ: 85 Đ. Nguyễn Trường Tộ, Phường 12, Quận 4, Hồ Chí Minh","{""facebook"": ""facebook.com/ly_ngoc_my72"", ""instagram"": ""instagram.com/ly_ngoc_my76"", ""zalo"": ""zalo.com/ly_ngoc_my10"", ""tiktok"": ""tiktok.com/ly_ngoc_my74"", ""preferred"": ""email""}",Social,[],Ưu tiên sản phẩm thiên nhiên,2025-07-13 08:31:00,2025-07-30 17:04:48
10,Phan Thu Thảo,Mới,1974-10-26,Nữ,phan.thu.thao@icloud.com,0934751079,"Địa chỉ: 2 Trần Hưng Đạo, Chợ Lầu, Bắc Bình, Bình Thuận","{""facebook"": ""facebook.com/phan_thu_thao20"", ""instagram"": ""instagram.com/phan_thu_thao69"", ""preferred"": ""phone""}",Referral,"[""uu-tien-ship""]",,2024-06-26 03:59:32,2024-07-13 12:53:10
