customer_id,full_name,customer_type,birth_date,gender,email,phone,address,social_channels,source,tags,notes,created_at,updated_at,lifecycle_stage
3,Võ Thanh Yến,Vip,1971-07-30,Nữ,vo.thanh.yen8833@hotmail.com,338658349,"Nhà Thuốc Thu Hà, Địa chỉ: 14 Hà Huy Tập, Đồng Phú, Đồng Hới, Quảng Bình, https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+Thu+H%C3%A0/data=!4m7!3m6!1s0x314756e557707db1:0x21b82c42ce1e245d!8m2!3d17.4684992!4d106.5944479!16s%2Fg%2F11tsjyf3zb!19sChI","{""tiktok"": ""tiktok.com/vo_thanh_yen73"", ""instagram"": ""instagram.com/vo_thanh_yen4"", ""zalo"": ""zalo.com/vo_thanh_yen26"", ""facebook"": ""facebook.com/vo_thanh_yen80"", ""preferred"": ""instagram""}",Website,"[""chong-nang"", ""retinol""]",,2025-03-14 01:17:28,2025-06-03 06:41:38,Prospect
6,Phan Thu Long,Mới,1986-08-02,Nam,phan.thu.long@outlook.com,844705089,"HoTel Nam Anh 3, Địa chỉ: 61 Đ. Bàu Cát, Phường 14, Tân Bình, Hồ Chí Minh, Số điện thoại: 0868 295 236, https://www.google.com/maps/place/HoTel+Nam+Anh+3/data=!4m10!3m9!1s0x31752903e620bd19:0xad31e4dcc129ff84!5m2!4m1!1i2!8m2!3d10.7930787!4d106.6413213!16s","{""tiktok"": ""tiktok.com/phan_thu_long89"", ""preferred"": ""instagram""}",Ads,[],Fan livestream tối thứ 6,2025-05-22 02:13:12,2025-07-12 22:29:31,Lead
8,Bùi Tuấn Lộc,Trung bình,1985-11-02,Nam,bui.tuan.loc@icloud.com,582339164,"Ngọc Lan Hotel, Địa chỉ: Tổ 4, Cao Bằng, 21128, Số điện thoại: 0888 593 166, https://www.google.com/maps/place/Ng%E1%BB%8Dc+Lan+Hotel/data=!4m10!3m9!1s0x36ca6757664e5069:0x71c4317dbb9a1de6!5m2!4m1!1i2!8m2!3d22.6772235!4d106.23952!16s%2Fg%2F11h1rn_8dg!19sC","{""tiktok"": ""tiktok.com/bui_tuan_loc35"", ""zalo"": ""zalo.com/bui_tuan_loc53"", ""preferred"": ""instagram""}",Website,"[""tri-mun""]",,2025-05-17 13:03:07,2025-06-03 18:01:32,Prospect
10,Đỗ Ngọc Thảo,Trung bình,1991-01-25,Nữ,do.ngoc.thao@outlook.com,893452975,"Nhà hàng Trăm Năm 푸미흥 백년 BBQ, 36 Đường số 6, Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 700000, 0342 658 322, https://www.google.gg/maps/place/Nh%C3%A0+h%C3%A0ng+Tr%C4%83m+N%C4%83m+%ED%91%B8%EB%AF%B8%ED%9D%A5+%EB%B0%B1%EB%85%84+BBQ/data=!4m7!3m6!1s0x31752f9175292","{""tiktok"": ""tiktok.com/do_ngoc_thao22"", ""instagram"": ""instagram.com/do_ngoc_thao15"", ""youtube"": ""youtube.com/do_ngoc_thao43"", ""preferred"": ""tiktok""}",Website,"[""livestream-fan""]",,2025-03-24 08:35:03,2025-06-23 23:40:21,Lead
11,Phạm Hữu Thảo,Trung bình,1966-12-21,Nữ,pham.huu.thao@hotmail.com,761900414,"Nhà Thuốc FPT Long Châu, Địa chỉ: 357 Nguyễn Văn Cừ, Hưng Bình, Vinh, Nghệ An 44000, Số điện thoại: 1800 6928, https://www.google.com/maps/place/Nh%C3%A0+Thu%E1%BB%91c+FPT+Long+Ch%C3%A2u/data=!4m7!3m6!1s0x3139cfae5578fbcd:0x10b1e5d0822b27a3!8m2!3d18.68523","{""tiktok"": ""tiktok.com/pham_huu_thao0"", ""instagram"": ""instagram.com/pham_huu_thao9"", ""facebook"": ""facebook.com/pham_huu_thao5"", ""youtube"": ""youtube.com/pham_huu_thao17"", ""preferred"": ""instagram""}",Ads,"[""duong-am"", ""aha-bha""]",,2024-12-16 02:26:35,2025-01-01 06:47:27,Prospect
12,Dương Phương Hương,Trung bình,1988-12-30,Nữ,duong.phuong.huong3511@outlook.com,538626714,"Quán chiều Bolero sân vườn, Địa chỉ: 8WM5+G6Q, Thương Diêm, Thuận Nam, Ninh Thuận, https://www.google.com/maps/place/Qu%C3%A1n+chi%E1%BB%81u+Bolero+s%C3%A2n+v%C6%B0%E1%BB%9Dn/data=!4m7!3m6!1s0x31772f004cf95195:0xfef0920bf444acc3!8m2!3d11.333839!4d108.9081","{""instagram"": ""instagram.com/duong_phuong_huong81"", ""facebook"": ""facebook.com/duong_phuong_huong91"", ""youtube"": ""youtube.com/duong_phuong_huong39"", ""preferred"": ""tiktok""}",Social,"[""coupon-hunter"", ""da-nhay-cam"", ""duong-am""]",,2025-04-01 03:44:54,2025-04-07 22:42:02,Lead
16,Lý Hữu Yến,Mới,1996-02-29,Nữ,ly.huu.yen@icloud.com,988062072,"Quán Cafe Anh Ba, Địa chỉ: Thôn Nước Ngọt, Cam Ranh, Khánh Hòa, Số điện thoại: 0934 830 784, https://www.google.com/maps/place/Qu%C3%A1n+Cafe+Anh+Ba/data=!4m7!3m6!1s0x3170eb820cbddab7:0x24195afe14b7b924!8m2!3d11.8109927!4d109.1230216!16s%2Fg%2F11tc_xn3ff!","{""tiktok"": ""tiktok.com/ly_huu_yen0"", ""instagram"": ""instagram.com/ly_huu_yen4"", ""zalo"": ""zalo.com/ly_huu_yen14"", ""facebook"": ""facebook.com/ly_huu_yen40"", ""youtube"": ""youtube.com/ly_huu_yen74"", ""preferred"": ""tiktok""}",Ads,"[""bodycare""]",,2025-03-24 07:55:53,2025-05-29 16:32:42,Prospect
17,Đặng Tuấn Trung,Trung bình,1998-08-15,Nam,dang.tuan.trung@icloud.com,336437579,"Hotel Anna, Địa chỉ: Số nhà 33, Cách chợ/P. Thống Nhất/100m cách phố đi bộ 50m, 4 tầng, Tiên Yên, Quảng Ninh 01906, Số điện thoại: 0987 562 110, https://www.google.com/maps/place/Hotel+Anna/data=!4m10!3m9!1s0x314b23006bd5d807:0x2d01f18bc0366aee!5m2!4m1!1i","{""instagram"": ""instagram.com/dang_tuan_trung44"", ""zalo"": ""zalo.com/dang_tuan_trung16"", ""facebook"": ""facebook.com/dang_tuan_trung75"", ""preferred"": ""email""}",Walk-in,"[""tri-mun"", ""duong-am"", ""coupon-hunter""]",,2025-02-10 14:24:41,2025-05-23 18:14:25,Prospect
18,Phạm Thị Quang,Trung bình,2005-08-09,Nam,pham.thi.quang@icloud.com,736307387,"Coffee Lands - Your taste, Địa chỉ: 36 Đường số 9, Phường 13, Quận 6, Hồ Chí Minh, Số điện thoại: 0917 187 576, https://www.google.com/maps/place/Coffee+Lands+-+Your+taste/data=!4m7!3m6!1s0x31752d335a8e2847:0xee42d9324af5a15!8m2!3d10.751866!4d106.6276278!","{""tiktok"": ""tiktok.com/pham_thi_quang27"", ""instagram"": ""instagram.com/pham_thi_quang0"", ""zalo"": ""zalo.com/pham_thi_quang55"", ""preferred"": ""instagram""}",Event,"[""gooming-nam"", ""duong-am""]",,2025-04-08 14:32:51,2025-05-18 14:53:53,Prospect
21,Lý Phương Quỳnh,Trung bình,2000-11-07,Nữ,ly.phuong.quynh@yahoo.com,772606160,"NHÀ THUỐC TRUNG SƠN, Địa chỉ: 326 Đ. Võ Duy Linh, Phường 1, Gò Công, Tiền Giang, Số điện thoại: 0889 456 060, https://www.google.com/maps/place/NH%C3%80+THU%E1%BB%90C+TRUNG+S%C6%A0N/data=!4m7!3m6!1s0x31754f001cc7b419:0x8504192abd376314!8m2!3d10.3599484!4d","{""tiktok"": ""tiktok.com/ly_phuong_quynh64"", ""instagram"": ""instagram.com/ly_phuong_quynh22"", ""facebook"": ""facebook.com/ly_phuong_quynh13"", ""youtube"": ""youtube.com/ly_phuong_quynh67"", ""preferred"": ""zalo""}",Social,"[""coupon-hunter""]",,2025-01-12 22:26:50,2025-03-21 20:28:17,Prospect
