LeadID,CustomerID,FullName,Phone,Email,LeadSource,Status,LeadScore,ConversionRate,AssignedTo,CreatedAt,Flow_ID
L000001,1,Lý Ngọc Giang,371609088,ly.ngoc.giang@yahoo.com,InBound,Converted,30,0.157,Trần Quốc Huy,2024-01-01 08:20:24,F-2025-000001
L000002,2,Phạm Đức Ngọc,935878761,pham.duc.ngoc@hotmail.com,InBound,Qualified,12,0.119,Bùi Yến Nhi,2024-01-26 03:43:21,F-2025-000002
L000003,3,Võ Thanh Yến,338658349,vo.thanh.yen8833@hotmail.com,InBound,Qualified,30,0.1196,Lê Thu Trang,2025-03-14 01:17:28,F-2025-000003
L000004,4,Hoàng Ngọc Trà,536397218,hoang.ngoc.tra@outlook.com,InBound,Qualified,12,0.1324,Nguyễn Lan Anh,2024-07-04 08:10:52,F-2025-000004
L000005,5,Lê Gia Vy,934153272,le.gia.vy@yahoo.com,InBound,Qualified,12,0.1178,Võ Nhật Linh,2024-08-26 21:25:47,F-2025-000005
L000006,6,Phan Thu Long,844705089,phan.thu.long@outlook.com,InBound,Contacted,6,0.1178,Đặng Gia Phúc,2025-05-22 02:13:12,F-2025-000006
L000007,7,Phạm Gia Giang,338741544,pham.gia.giang8500@gmail.com,InBound,Converted,42,0.1196,Phạm Minh Khoa,2024-11-27 22:19:52,F-2025-000007
L000008,8,Bùi Tuấn Lộc,582339164,bui.tuan.loc@icloud.com,InBound,Qualified,18,0.1196,Trần Quốc Huy,2025-05-17 13:03:07,F-2025-000008
L000009,9,Phạm Anh Chi,554021202,pham.anh.chi@yahoo.com,InBound,Lost,0,0.119,Đặng Gia Phúc,2024-08-14 14:28:54,F-2025-000009
L000010,10,Đỗ Ngọc Thảo,893452975,do.ngoc.thao@outlook.com,InBound,Contacted,6,0.1196,Đặng Gia Phúc,2025-03-24 08:35:03,F-2025-000010
L000011,11,Phạm Hữu Thảo,761900414,pham.huu.thao@hotmail.com,InBound,Qualified,12,0.1178,Trần Quốc Huy,2024-12-16 02:26:35,F-2025-000011
L000012,12,Dương Phương Hương,538626714,duong.phuong.huong3511@outlook.com,InBound,Contacted,6,0.119,Nguyễn Lan Anh,2025-04-01 03:44:54,F-2025-000012
L000013,13,Huỳnh Anh Yến,393273324,huynh.anh.yen@outlook.com,InBound,Qualified,12,0.119,Trần Quốc Huy,2024-02-14 09:52:54,F-2025-000013
L000014,14,Lý Thanh Giang,556895257,ly.thanh.giang@gmail.com,InBound,Qualified,12,0.1178,Phạm Minh Khoa,2024-05-02 14:23:04,F-2025-000014
L000015,15,Lý Gia Giang,811318457,ly.gia.giang@hotmail.com,InBound,Lost,0,0.1178,Đặng Gia Phúc,2024-06-11 18:09:51,F-2025-000015
L000016,16,Lý Hữu Yến,988062072,ly.huu.yen@icloud.com,InBound,Qualified,12,0.1178,Trần Quốc Huy,2025-03-24 07:55:53,F-2025-000016
L000017,17,Đặng Tuấn Trung,336437579,dang.tuan.trung@icloud.com,InBound,Qualified,18,0.1025,Đặng Gia Phúc,2025-02-10 14:24:41,F-2025-000017
L000018,18,Phạm Thị Quang,736307387,pham.thi.quang@icloud.com,InBound,Qualified,30,0.157,Nguyễn Lan Anh,2025-04-08 14:32:51,F-2025-000018
L000019,19,Võ Anh Hạnh,922876529,vo.anh.hanh@gmail.com,InBound,Converted,42,0.1196,Nguyễn Lan Anh,2024-07-18 03:27:53,F-2025-000019
L000020,20,Võ Hữu Nhung,320317913,vo.huu.nhung7128@icloud.com,InBound,Qualified,12,0.1324,Trần Quốc Huy,2024-02-25 18:01:33,F-2025-000020
L000021,21,Lý Phương Quỳnh,772606160,ly.phuong.quynh@yahoo.com,InBound,Qualified,18,0.119,Phạm Minh Khoa,2025-01-12 22:26:50,F-2025-000021
L000022,22,Huỳnh Gia Trà,532777524,huynh.gia.tra3832@outlook.com,InBound,Converted,48,0.119,Phạm Minh Khoa,2025-03-08 20:27:10,F-2025-000022
L000023,23,Bùi Thị Ngọc,547431200,bui.thi.ngoc2440@hotmail.com,InBound,Qualified,12,0.1178,Nguyễn Lan Anh,2024-05-04 07:18:42,F-2025-000023
L000024,24,Phạm Đức Hoa,772375231,pham.duc.hoa@yahoo.com,InBound,Converted,36,0.119,Phạm Minh Khoa,2025-04-17 08:42:28,F-2025-000024
L000025,25,Bùi Ngọc Vy,744221369,bui.ngoc.vy@gmail.com,InBound,Qualified,12,0.1178,Đặng Gia Phúc,2024-12-11 11:56:34,F-2025-000025
L000026,26,Lê Phương Phương,917023590,le.phuong.phuong@yahoo.com,InBound,Qualified,18,0.1324,Bùi Yến Nhi,2025-05-02 22:41:11,F-2025-000026
L000027,27,Võ Hữu Phương,823078457,vo.huu.phuong@yahoo.com,InBound,Qualified,30,0.119,Võ Nhật Linh,2025-06-22 21:36:51,F-2025-000027
L000028,28,Lê Thị Long,384500736,le.thi.long3151@outlook.com,InBound,Qualified,24,0.119,Nguyễn Lan Anh,2025-04-13 15:07:24,F-2025-000028
L000029,29,Vũ Thanh Kim,342956274,vu.thanh.kim@gmail.com,InBound,Qualified,12,0.1196,Trần Quốc Huy,2025-01-24 02:03:13,F-2025-000029
L000030,30,Vũ Thu Hương,598701456,vu.thu.huong6164@gmail.com,InBound,Nurturing,24,0.1196,Phạm Minh Khoa,2025-08-17 13:57:31,F-2025-000030
L000031,31,Võ Đức Ngọc,385074919,vo.duc.ngoc@icloud.com,InBound,Qualified,36,0.1178,Phạm Minh Khoa,2025-07-10 12:31:39,F-2025-000031
L000032,32,Hồ Minh Trang,520011139,ho.minh.trang514@gmail.com,InBound,Qualified,12,0.1178,Trần Quốc Huy,2024-11-12 22:22:24,F-2025-000032
L000033,33,Ngô Tuấn Tài,797691449,ngo.tuan.tai@outlook.com,InBound,Converted,30,0.119,Phạm Minh Khoa,2024-09-17 20:01:56,F-2025-000033
L000034,34,Lý Văn Trà,717875765,ly.van.tra@hotmail.com,InBound,Qualified,12,0.119,Nguyễn Lan Anh,2024-07-04 10:08:51,F-2025-000034
L000035,35,Phạm Đức Kim,586484430,pham.duc.kim6492@hotmail.com,InBound,Qualified,12,0.1324,Trần Quốc Huy,2024-06-19 00:27:33,F-2025-000035
L000036,36,Lý Minh Anh,925272528,ly.minh.anh@outlook.com,InBound,Lost,0,0.1196,Lê Thu Trang,2024-04-17 08:58:09,F-2025-000036
L000037,37,Huỳnh Phương Nam,573979576,huynh.phuong.nam@outlook.com,InBound,Converted,42,0.1178,Võ Nhật Linh,2025-09-04 19:34:32,F-2025-000037
L000038,38,Hồ Phương Giang,833207447,ho.phuong.giang@icloud.com,InBound,Qualified,12,0.119,Trần Quốc Huy,2024-05-03 13:25:13,F-2025-000038
L000039,39,Ngô Anh Trang,573790861,ngo.anh.trang2743@hotmail.com,InBound,Qualified,12,0.1178,Bùi Yến Nhi,2024-08-07 09:56:49,F-2025-000039
L000040,40,Hồ Quốc Anh,550793279,ho.quoc.anh@outlook.com,InBound,Contacted,6,0.119,Hoàng Bảo Nguyên,2024-10-19 05:48:30,F-2025-000040
L000041,41,Trần Phương My,842070637,tran.phuong.my@icloud.com,InBound,Lost,0,0.1196,Bùi Yến Nhi,2024-02-08 06:03:43,F-2025-000041
L000042,42,Trần Quốc Yến,557837355,tran.quoc.yen@gmail.com,InBound,Qualified,12,0.119,Lê Thu Trang,2024-04-20 06:06:30,F-2025-000042
L000043,43,Đặng Văn Hương,825997706,dang.van.huong@gmail.com,InBound,Qualified,18,0.119,Võ Nhật Linh,2025-04-06 02:00:18,F-2025-000043
L000044,44,Lê Tuấn Kim,734608388,le.tuan.kim3221@hotmail.com,InBound,Qualified,30,0.119,Bùi Yến Nhi,2025-03-24 20:36:40,F-2025-000044
L000045,45,Đặng Minh An,931082999,dang.minh.an@yahoo.com,InBound,Qualified,12,0.119,Bùi Yến Nhi,2024-11-30 15:23:36,F-2025-000045
L000046,46,Dương Ngọc Trang,765943536,duong.ngoc.trang@hotmail.com,InBound,Qualified,12,0.1324,Đặng Gia Phúc,2024-04-18 12:14:08,F-2025-000046
L000047,47,Nguyễn Hữu Quỳnh,841928001,nguyen.huu.quynh9143@outlook.com,InBound,Lost,0,0.1178,Trần Quốc Huy,2024-02-29 15:29:27,F-2025-000047
L000048,48,Ngô Gia Nhung,878547386,ngo.gia.nhung@outlook.com,InBound,Converted,42,0.119,Đặng Gia Phúc,2024-12-02 21:41:57,F-2025-000048
L000049,49,Hồ Phương Phát,956648539,ho.phuong.phat@yahoo.com,InBound,Lost,0,0.119,Nguyễn Lan Anh,2024-03-02 04:05:03,F-2025-000049
L000050,50,Huỳnh Đức Thảo,726067314,huynh.duc.thao6566@icloud.com,InBound,Qualified,12,0.1178,Võ Nhật Linh,2024-07-21 00:37:58,F-2025-000050
L000051,51,Vũ Phương My,771141640,vu.phuong.my@hotmail.com,InBound,Qualified,42,0.1178,Phạm Minh Khoa,2025-09-21 00:18:13,F-2025-000051
L000052,52,Trần Quốc Phương,779233601,tran.quoc.phuong@yahoo.com,InBound,Nurturing,18,0.157,Võ Nhật Linh,2025-06-09 15:34:32,F-2025-000052
L000053,53,Hồ Lan Chi,553208429,ho.lan.chi@icloud.com,InBound,Qualified,12,0.1025,Phạm Minh Khoa,2024-10-04 04:19:06,F-2025-000053
L000054,54,Hồ Ngọc Huy,521417919,ho.ngoc.huy@yahoo.com,InBound,Nurturing,30,0.1324,Hoàng Bảo Nguyên,2025-04-23 11:09:23,F-2025-000054
L000055,55,Bùi Thị Trinh,886338575,bui.thi.trinh@hotmail.com,InBound,Lost,0,0.1196,Lê Thu Trang,2024-08-23 23:08:19,F-2025-000055
L000056,56,Dương Anh Ngân,889330309,duong.anh.ngan@yahoo.com,InBound,Contacted,6,0.119,Hoàng Bảo Nguyên,2025-01-09 04:07:50,F-2025-000056
L000057,57,Hồ Thu Long,916871523,ho.thu.long@gmail.com,InBound,Lost,0,0.1196,Võ Nhật Linh,2024-09-20 07:52:39,F-2025-000057
L000058,58,Võ Anh Chi,945535317,vo.anh.chi@outlook.com,InBound,Converted,54,0.1025,Hoàng Bảo Nguyên,2025-07-24 17:14:40,F-2025-000058
L000059,59,Bùi Thị Trung,339843338,bui.thi.trung5002@gmail.com,InBound,Lost,0,0.157,Võ Nhật Linh,2024-11-27 23:05:52,F-2025-000059
L000060,60,Ngô Tuấn Kim,930744772,ngo.tuan.kim@outlook.com,InBound,Nurturing,36,0.1196,Trần Quốc Huy,2025-09-15 04:06:46,F-2025-000060
L000061,61,Dương Gia Linh,311980894,duong.gia.linh@gmail.com,InBound,Lost,0,0.1324,Lê Thu Trang,2024-10-01 00:06:53,F-2025-000061
L000062,62,Vũ Minh Dũng,923434894,vu.minh.dung@yahoo.com,InBound,Lost,0,0.1196,Hoàng Bảo Nguyên,2024-09-29 15:59:38,F-2025-000062
L000063,63,Vũ Văn Chi,557766282,vu.van.chi@yahoo.com,InBound,Lost,0,0.1196,Hoàng Bảo Nguyên,2024-01-21 10:48:31,F-2025-000063
L000064,64,Bùi Ngọc Thảo,575654457,bui.ngoc.thao@outlook.com,InBound,Qualified,12,0.119,Lê Thu Trang,2024-07-22 03:13:52,F-2025-000064
L000065,65,Đỗ Thanh An,723477675,do.thanh.an@gmail.com,InBound,Converted,30,0.119,Nguyễn Lan Anh,2024-04-09 11:44:40,F-2025-000065
L000066,66,Hoàng Tuấn Quang,812415890,hoang.tuan.quang@yahoo.com,InBound,Lost,0,0.1196,Võ Nhật Linh,2024-01-07 20:41:06,F-2025-000066
L000067,67,Đặng Hữu Trà,538707785,dang.huu.tra@gmail.com,InBound,Qualified,18,0.1196,Lê Thu Trang,2025-05-11 03:00:55,F-2025-000067
L000068,68,Hoàng Lan Phương,322292512,hoang.lan.phuong2424@icloud.com,InBound,Qualified,24,0.1324,Đặng Gia Phúc,2025-09-12 14:00:31,F-2025-000068
L000069,69,Trần Quốc Chi,843522119,tran.quoc.chi@icloud.com,InBound,Lost,0,0.1324,Võ Nhật Linh,2024-12-14 04:22:49,F-2025-000069
L000070,70,Hoàng Lan Hạnh,393494553,hoang.lan.hanh@gmail.com,InBound,Qualified,12,0.1196,Phạm Minh Khoa,2024-01-10 15:22:17,F-2025-000070
L000071,71,Đỗ Đức Yến,547632292,do.duc.yen@hotmail.com,InBound,Lost,0,0.119,Hoàng Bảo Nguyên,2024-08-25 20:23:02,F-2025-000071
L000072,72,Võ Thị Bảo,744405298,vo.thi.bao@hotmail.com,InBound,Qualified,12,0.1178,Nguyễn Lan Anh,2024-04-15 23:04:09,F-2025-000072
L000073,73,Bùi Ngọc An,820776874,bui.ngoc.an3653@outlook.com,InBound,Qualified,18,0.1178,Đặng Gia Phúc,2025-01-10 07:23:28,F-2025-000073
L000074,74,Đặng Lan Hương,512001900,dang.lan.huong@icloud.com,InBound,Qualified,24,0.119,Nguyễn Lan Anh,2025-06-27 07:50:25,F-2025-000074
L000075,75,Vũ Đức Lộc,942956063,vu.duc.loc@hotmail.com,InBound,Qualified,12,0.1025,Phạm Minh Khoa,2024-12-02 17:59:07,F-2025-000075
L000076,76,Phạm Lan Kim,914888797,pham.lan.kim1995@hotmail.com,InBound,Nurturing,12,0.119,Phạm Minh Khoa,2025-01-20 06:01:39,F-2025-000076
L000077,77,Vũ Thị Giang,772087523,vu.thi.giang@yahoo.com,InBound,Qualified,12,0.119,Phạm Minh Khoa,2024-11-02 23:36:52,F-2025-000077
L000078,78,Ngô Tuấn Nhung,580786218,ngo.tuan.nhung@icloud.com,InBound,Qualified,18,0.157,Phạm Minh Khoa,2024-12-18 23:19:11,F-2025-000078
L000079,79,Lê Minh Linh,531844531,le.minh.linh@gmail.com,InBound,Converted,42,0.119,Lê Thu Trang,2025-09-02 03:18:27,F-2025-000079
L000080,80,Lê Hữu Phúc,335178748,le.huu.phuc@yahoo.com,InBound,Qualified,36,0.1178,Bùi Yến Nhi,2025-07-26 14:43:13,F-2025-000080
L000081,81,Phan Quốc Anh,986261009,phan.quoc.anh5158@outlook.com,InBound,Qualified,12,0.1178,Lê Thu Trang,2024-01-18 11:32:16,F-2025-000081
L000082,82,Lý Hữu Ngọc,974944975,ly.huu.ngoc@outlook.com,InBound,Qualified,12,0.1324,Hoàng Bảo Nguyên,2024-05-24 02:33:24,F-2025-000082
L000083,83,Lý Quốc Linh,720288202,ly.quoc.linh@icloud.com,InBound,Qualified,12,0.1196,Nguyễn Lan Anh,2024-11-27 13:13:46,F-2025-000083
L000084,84,Võ Lan Trà,388779026,vo.lan.tra@hotmail.com,InBound,Qualified,12,0.1196,Trần Quốc Huy,2024-07-25 18:18:32,F-2025-000084
L000085,85,Phan Đức Phát,779159767,phan.duc.phat4434@yahoo.com,InBound,Lost,0,0.119,Đặng Gia Phúc,2024-08-06 12:51:40,F-2025-000085
L000086,86,Ngô Mai Long,331317949,ngo.mai.long@icloud.com,InBound,Converted,30,0.1324,Phạm Minh Khoa,2024-07-17 08:00:09,F-2025-000086
L000087,87,Ngô Tuấn Yến,848018083,ngo.tuan.yen788@outlook.com,InBound,Qualified,12,0.1178,Lê Thu Trang,2024-04-25 07:58:21,F-2025-000087
L000088,88,Bùi Gia Kim,991133654,bui.gia.kim@gmail.com,InBound,Lost,0,0.119,Lê Thu Trang,2024-10-27 01:21:09,F-2025-000088
L000089,89,Phan Văn Hoa,824099363,phan.van.hoa7036@yahoo.com,InBound,Qualified,36,0.119,Phạm Minh Khoa,2025-05-23 22:18:55,F-2025-000089
L000090,90,Phan Thu Nhung,766443643,phan.thu.nhung@hotmail.com,InBound,Qualified,24,0.1324,Võ Nhật Linh,2025-06-27 12:01:37,F-2025-000090
L000091,91,Nguyễn Phương Tài,970644551,nguyen.phuong.tai@outlook.com,OutBound,Qualified,24,0.0649,Hoàng Bảo Nguyên,2025-07-18 09:41:34,F-2025-000091
L000092,92,Nguyễn Thanh Ngân,831833240,nguyen.thanh.ngan@yahoo.com,InBound,Converted,42,0.1178,Lê Thu Trang,2024-03-21 02:46:18,F-2025-000092
L000093,93,Ngô Thu Trung,778778886,ngo.thu.trung@gmail.com,InBound,Qualified,12,0.1178,Võ Nhật Linh,2024-02-26 19:29:46,F-2025-000093
L000094,94,Hồ Anh Giang,983709774,ho.anh.giang@gmail.com,InBound,Lost,0,0.1178,Võ Nhật Linh,2024-03-20 14:25:23,F-2025-000094
L000095,95,Hồ Tuấn Trà,359776725,ho.tuan.tra@yahoo.com,InBound,Lost,0,0.1324,Lê Thu Trang,2024-07-16 23:25:39,F-2025-000095
L000096,96,Đặng Gia Chi,516856749,dang.gia.chi@gmail.com,InBound,Qualified,42,0.1324,Đặng Gia Phúc,2025-10-06 04:28:32,F-2025-000096
L000097,97,Đỗ Lan Anh,397475298,do.lan.anh@icloud.com,InBound,Qualified,12,0.1324,Phạm Minh Khoa,2024-10-19 18:03:21,F-2025-000097
L000098,98,Bùi Thu Thảo,995659080,bui.thu.thao@outlook.com,InBound,Nurturing,18,0.119,Bùi Yến Nhi,2025-09-02 12:10:25,F-2025-000098
L000099,99,Võ Phương Giang,369549048,vo.phuong.giang@hotmail.com,InBound,Qualified,12,0.1324,Lê Thu Trang,2024-01-21 11:21:11,F-2025-000099
L000100,100,Dương Gia Anh,917250185,duong.gia.anh@yahoo.com,InBound,Qualified,18,0.1196,Trần Quốc Huy,2025-01-08 16:48:16,F-2025-000100
L000101,101,Lý Thu Trung,368451838,ly.thu.trung9336@outlook.com,InBound,Qualified,12,0.1178,Lê Thu Trang,2024-06-29 02:29:10,F-2025-000101
L000102,102,Bùi Hữu Trà,759727447,bui.huu.tra2676@hotmail.com,InBound,Nurturing,18,0.1196,Phạm Minh Khoa,2025-08-06 18:06:48,F-2025-000102
L000103,103,Ngô Minh Khánh,336611806,ngo.minh.khanh@yahoo.com,InBound,Qualified,12,0.119,Đặng Gia Phúc,2024-12-02 19:15:23,F-2025-000103
L000104,104,Trần Mai Chi,772723290,tran.mai.chi@hotmail.com,InBound,Nurturing,12,0.1178,Võ Nhật Linh,2025-03-29 23:16:27,F-2025-000104
L000105,105,Lý Minh Giang,310647938,ly.minh.giang8870@outlook.com,InBound,Contacted,6,0.119,Phạm Minh Khoa,2024-10-06 05:22:54,F-2025-000105
L000106,106,Huỳnh Thanh My,930367845,huynh.thanh.my@hotmail.com,InBound,Lost,0,0.157,Nguyễn Lan Anh,2024-06-25 13:22:29,F-2025-000106
L000107,107,Dương Anh Phương,389025608,duong.anh.phuong@outlook.com,InBound,Qualified,24,0.1196,Võ Nhật Linh,2025-05-28 03:37:06,F-2025-000107
L000108,108,Lê Minh Linh,537223578,le.minh.linh6125@yahoo.com,InBound,Converted,30,0.1025,Võ Nhật Linh,2024-07-07 06:04:09,F-2025-000108
L000109,109,Lê Thu Trung,895684568,le.thu.trung@outlook.com,InBound,Qualified,12,0.119,Võ Nhật Linh,2024-05-25 07:12:29,F-2025-000109
L000110,110,Nguyễn Lan Hương,758566301,nguyen.lan.huong@gmail.com,InBound,Lost,0,0.119,Bùi Yến Nhi,2024-09-12 17:06:37,F-2025-000110
L000111,111,Huỳnh Minh Hạnh,890649667,huynh.minh.hanh6380@gmail.com,InBound,Nurturing,12,0.1178,Võ Nhật Linh,2025-01-13 18:39:26,F-2025-000111
